#node	clock_length	mutation_length	rate	fold_change
NC_045512.2	0.000e+00	3.220e-22	8.000e-03	1.00
NODE_0000000	7.265e-03	1.002e-04	8.000e-04	0.10
England_NORW-227FB9_2021	1.283e-03	5.348e-04	3.318e-03	0.41
NODE_0000002	9.822e-04	5.345e-04	4.316e-03	0.54
England_NORW-22B4C5_2021	3.776e-05	3.176e-22	3.280e-03	0.41
England_NORW-22B2F8_2021	3.776e-05	6.678e-05	9.725e-03	1.22
NODE_0000004	1.673e-04	2.672e-04	1.044e-02	1.31
England_NORW-228B0F_2021	7.651e-04	2.672e-04	2.875e-03	0.36
NODE_0000005	1.500e-05	3.338e-05	8.885e-03	1.11
NODE_0000007	2.143e-05	3.180e-22	6.451e-03	0.81
NODE_0000013	7.040e-04	6.677e-05	8.018e-04	0.10
England_NORW-22BCDC_2021	1.342e-04	2.004e-04	1.073e-02	1.34
NODE_0000009	0.000e+00	3.179e-22	8.000e-03	1.00
England_NORW-2291DF_2021	2.463e-05	3.339e-05	8.587e-03	1.07
England_NORW-22CD6F_2021	6.602e-04	3.180e-22	8.000e-04	0.10
NODE_0000010	0.000e+00	3.180e-22	7.988e-03	1.00
England_NORW-22BD15_2021	1.233e-03	3.175e-22	8.000e-04	0.10
NODE_0000006	6.191e-04	6.677e-05	9.188e-04	0.11
England_NORW-229597_2020	-1.000e-12	3.189e-22	8.000e-03	1.00
England_NORW-228352_2021	6.566e-05	3.338e-05	5.410e-03	0.68
NODE_0000008	2.819e-04	6.677e-05	2.140e-03	0.27
England_NORW-22BE4F_2021	2.441e-04	3.338e-05	1.346e-03	0.17
NODE_0000011	2.801e-07	2.754e-18	8.000e-03	1.00
England_NORW-2291A2_2021	1.342e-04	3.198e-22	8.000e-04	0.10
NODE_0000012	4.789e-08	2.754e-18	8.000e-03	1.00
England_NORW-2296C1_2021	1.780e-04	3.182e-22	8.000e-04	0.10
England_NORW-2292CD_2021	2.653e-06	2.754e-18	7.948e-03	0.99
NODE_0000015	6.668e-06	3.339e-05	8.626e-03	1.08
England_NORW-22810D_2020	-1.000e-12	3.188e-22	8.000e-03	1.00
NODE_0000014	1.942e-05	3.176e-22	8.000e-03	1.00
NODE_0000017	0.000e+00	3.176e-22	8.000e-03	1.00
England_NORW-22BF5B_2021	1.381e-03	1.002e-04	8.000e-04	0.10
England_NORW-22A253_2021	1.469e-03	2.672e-04	1.466e-03	0.18
NODE_0000019	0.000e+00	3.176e-22	8.000e-03	1.00
NODE_0000020	0.000e+00	3.176e-22	8.000e-03	1.00
England_NORW-228DFA_2021	7.459e-04	2.004e-04	2.173e-03	0.27
NODE_0000016	6.145e-04	1.002e-04	1.338e-03	0.17
England_NORW-2283E9_2020	-1.000e-12	3.163e-22	8.000e-03	1.00
England_NORW-22970A_2021	1.314e-04	1.003e-04	6.494e-03	0.81
England_NORW-2284F5_2021	2.848e-04	3.339e-05	1.127e-03	0.14
NODE_0000022	0.000e+00	3.176e-22	8.000e-03	1.00
England_NORW-2295C4_2021	7.240e-04	3.344e-05	8.000e-04	0.10
NODE_0000023	6.099e-04	3.339e-05	8.000e-04	0.10
England_NORW-2297A0_2021	2.894e-04	6.677e-05	2.097e-03	0.26
NODE_0000024	2.350e-06	3.180e-22	8.000e-03	1.00
England_NORW-22B35F_2021	6.158e-04	3.195e-22	8.000e-04	0.10
NODE_0000025	2.194e-06	3.180e-22	8.000e-03	1.00
England_NORW-22B51D_2021	6.136e-04	3.180e-22	8.000e-04	0.10
England_NORW-229AF2_2020	-1.000e-12	2.758e-18	7.948e-03	0.99
NODE_0000026	3.891e-04	3.675e-04	7.368e-03	0.92
England_NORW-22BD51_2021	1.025e-03	2.006e-04	1.590e-03	0.20
NODE_0000027	2.746e-04	4.680e-04	1.218e-02	1.52
NODE_0000018	9.208e-05	3.341e-05	7.216e-03	0.90
England_NORW-228871_2021	3.519e-04	3.342e-05	8.000e-04	0.10
NODE_0000029	5.065e-04	3.341e-05	8.000e-04	0.10
England_NORW-22C039_2021	3.276e-04	1.337e-04	3.312e-03	0.41
NODE_0000030	1.874e-05	3.341e-05	7.778e-03	0.97
England_NORW-229719_2021	2.012e-06	3.188e-22	7.948e-03	0.99
England_NORW-22911B_2021	4.585e-05	3.202e-22	2.725e-03	0.34
NODE_0000031	0.000e+00	3.189e-22	8.000e-03	1.00
NODE_0000032	6.126e-06	3.341e-05	8.682e-03	1.09
England_NORW-22BAD2_2021	5.255e-04	1.336e-04	2.153e-03	0.27
England_NORW-229A01_2020	-1.000e-12	2.761e-18	8.000e-03	1.00
England_NORW-229658_2021	6.351e-04	1.337e-04	1.770e-03	0.22
NODE_0000035	5.724e-04	6.682e-05	1.013e-03	0.13
NODE_0000036	1.428e-04	3.341e-05	2.420e-03	0.30
